INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	CASRN	IUPAC_NAME	INCHI_STRING	DATA_SOURCES	QSAR_READY_SMILES
atracurium besilate	NO_MATCH	-	-	-	-	-	-	-
naproxen	Approved Name	DTXSID4040686	Naproxen	22204-53-1	(2S)-2-(6-Methoxynaphthalen-2-yl)propanoic acid	InChI=1S/C14H14O3/c1-9(14(15)16)10-3-4-12-8-13(17-2)6-5-11(12)7-10/h3-9H,1-2H3,(H,15,16)/t9-/m0/s1	65	COC1=CC2=CC=C(C=C2C=C1)C(C)C(O)=O
thiamphenicol	Approved Name	DTXSID5021338	Thiamphenicol	15318-45-3	2,2-Dichloro-N-{(1R,2R)-1,3-dihydroxy-1-[4-(methanesulfonyl)phenyl]propan-2-yl}acetamide	InChI=1S/C12H15Cl2NO5S/c1-21(19,20)8-4-2-7(3-5-8)10(17)9(6-16)15-12(18)11(13)14/h2-5,9-11,16-17H,6H2,1H3,(H,15,18)/t9-,10-/m1/s1	49	CS(=O)(=O)C1=CC=C(C=C1)C(O)C(CO)NC(=O)C(Cl)Cl
dapsone	Approved Name	DTXSID4020371	Dapsone	80-08-0	4,4'-Sulfonyldianiline	InChI=1S/C12H12N2O2S/c13-9-1-5-11(6-2-9)17(15,16)12-7-3-10(14)4-8-12/h1-8H,13-14H2	83	NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1
isoxicam	Approved Name	DTXSID0045462	Isoxicam	34552-84-6	4-Hydroxy-2-methyl-N-(5-methyl-1,2-oxazol-3-yl)-1,1-dioxo-1,2-dihydro-1lambda~6~,2-benzothiazine-3-carboxamide	InChI=1S/C14H13N3O5S/c1-8-7-11(16-22-8)15-14(19)12-13(18)9-5-3-4-6-10(9)23(20,21)17(12)2/h3-7,18H,1-2H3,(H,15,16,19)	36	CN1C(C(=O)NC2=NOC(C)=C2)=C(O)C2=C(C=CC=C2)S1(=O)=O
mefenamic acid	Approved Name	DTXSID5023243	Mefenamic acid	61-68-7	2-(2,3-Dimethylanilino)benzoic acid	InChI=1S/C15H15NO2/c1-10-6-5-9-13(11(10)2)16-14-8-4-3-7-12(14)15(17)18/h3-9,16H,1-2H3,(H,17,18)	66	CC1=C(C)C(NC2=C(C=CC=C2)C(O)=O)=CC=C1
heptaminol	Approved Name	DTXSID4048484	Heptaminol	372-66-7	6-Amino-2-methylheptan-2-ol	InChI=1S/C8H19NO/c1-7(9)5-4-6-8(2,3)10/h7,10H,4-6,9H2,1-3H3	17	CC(N)CCCC(C)(C)O
acetohexamide	Approved Name	DTXSID7020007	Acetohexamide	968-81-0	4-Acetyl-N-(cyclohexylcarbamoyl)benzene-1-sulfonamide	InChI=1S/C15H20N2O4S/c1-11(18)12-7-9-14(10-8-12)22(20,21)17-15(19)16-13-5-3-2-4-6-13/h7-10,13H,2-6H2,1H3,(H2,16,17,19)	53	CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1
diphenhydramine	Approved Name	DTXSID4022949	Diphenhydramine	58-73-1	2-(Diphenylmethoxy)-N,N-dimethylethan-1-amine	InChI=1S/C17H21NO/c1-18(2)13-14-19-17(15-9-5-3-6-10-15)16-11-7-4-8-12-16/h3-12,17H,13-14H2,1-2H3	60	CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1
adiphenine	Approved Name	DTXSID0022561	Adiphenine	64-95-9	2-(Diethylamino)ethyl diphenylacetate	InChI=1S/C20H25NO2/c1-3-21(4-2)15-16-23-20(22)19(17-11-7-5-8-12-17)18-13-9-6-10-14-18/h5-14,19H,3-4,15-16H2,1-2H3	27	CCN(CC)CCOC(=O)C(C1=CC=CC=C1)C1=CC=CC=C1
molsidomine	Approved Name	DTXSID0045171	Molsidomine	25717-80-0	N-(Ethoxycarbonyl)-3-(morpholin-4-yl)-1,2,3-oxadiazol-3-ium-5-aminide	InChI=1S/C9H14N4O4/c1-2-16-9(14)10-8-7-13(11-17-8)12-3-5-15-6-4-12/h7H,2-6H2,1H3	34	CCOC(=O)NC1=C[N+](=NO1)N1CCOCC1
dirithromycin	Approved Name	DTXSID7048956	Dirithromycin	62013-04-1	(1S,2R,3R,6R,7S,8S,9R,10R,12R,13S,15R,17S)-3-Ethyl-2,10-dihydroxy-15-[(2-methoxyethoxy)methyl]-2,6,8,10,12,17-hexamethyl-5-oxo-9-{[3,4,6-trideoxy-3-(dimethylamino)-beta-D-xylo-hexopyranosyl]oxy}-4,16-dioxa-14-azabicyclo[11.3.1]heptadecan-7-yl 2,6-dideoxy-3-C-methyl-3-O-methyl-alpha-L-ribo-hexopyranoside	InChI=1S/C42H78N2O14/c1-15-29-42(10,49)37-24(4)32(43-30(56-37)21-52-17-16-50-13)22(2)19-40(8,48)36(58-39-33(45)28(44(11)12)18-23(3)53-39)25(5)34(26(6)38(47)55-29)57-31-20-41(9,51-14)35(46)27(7)54-31/h22-37,39,43,45-46,48-49H,15-21H2,1-14H3/t22-,23-,24+,25+,26-,27+,28+,29-,30-,31+,32+,33-,34+,35+,36-,37+,39+,40-,41-,42-/m1/s1	22	[H]C12NC(COCCOC)OC([H])(C1C)C(C)(O)C(CC)OC(=O)C(C)C(OC1CC(C)(OC)C(O)C(C)O1)C(C)C(OC1OC(C)CC(C1O)N(C)C)C(C)(O)CC2C
budesonide	Approved Name	DTXSID8020202	Budesonide	51333-22-3	(4aR,4bS,5S,6aS,6bS,9aR,10aS,10bS)-5-Hydroxy-6b-(hydroxyacetyl)-4a,6a-dimethyl-8-propyl-4a,4b,5,6,6a,6b,9a,10,10a,10b,11,12-dodecahydro-2H,8H-naphtho[2',1':4,5]indeno[1,2-d][1,3]dioxol-2-one	InChI=1S/C25H34O6/c1-4-5-21-30-20-11-17-16-7-6-14-10-15(27)8-9-23(14,2)22(16)18(28)12-24(17,3)25(20,31-21)19(29)13-26/h8-10,16-18,20-22,26,28H,4-7,11-13H2,1-3H3/t16-,17-,18-,20+,21?,22+,23-,24-,25+/m0/s1	50	CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO
dosulepin	Expert Validated Synonym	DTXSID2022961	Dothiepin	113-53-1	3-(Dibenzo[b,e]thiepin-11(6H)-ylidene)-N,N-dimethylpropan-1-amine	InChI=1S/C19H21NS/c1-20(2)13-7-11-17-16-9-4-3-8-15(16)14-21-19-12-6-5-10-18(17)19/h3-6,8-12H,7,13-14H2,1-2H3	21	CN(C)CC\C=C1\C2=C(CSC3=C1C=CC=C3)C=CC=C2
piracetam	Approved Name	DTXSID5044491	Piracetam	7491-74-9	2-(2-Oxopyrrolidin-1-yl)acetamide	InChI=1S/C6H10N2O2/c7-5(9)4-8-3-1-2-6(8)10/h1-4H2,(H2,7,9)	48	NC(=O)CN1CCCC1=O
artemisinin	Approved Name	DTXSID2040652	Artemisinin	63968-64-9	(3R,5aS,6R,8aS,9R,12S,12aR)-3,6,9-Trimethyloctahydro-12H-3,12-epoxypyrano[4,3-j][1,2]benzodioxepin-10(3H)-one	InChI=1S/C15H22O5/c1-8-4-5-11-9(2)12(16)17-13-15(11)10(8)6-7-14(3,18-13)19-20-15/h8-11,13H,4-7H2,1-3H3/t8-,9-,10+,11+,13-,14-,15-/m1/s1	43	CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4
triflusal	Approved Name	DTXSID8045305	Triflusal	322-79-2	2-(Acetyloxy)-4-(trifluoromethyl)benzoic acid	InChI=1S/C10H7F3O4/c1-5(14)17-8-4-6(10(11,12)13)2-3-7(8)9(15)16/h2-4H,1H3,(H,15,16)	30	CC(=O)OC1=C(C=CC(=C1)C(F)(F)F)C(O)=O
chloroquine	Approved Name	DTXSID2040446	Chloroquine	54-05-7	N~4~-(7-Chloroquinolin-4-yl)-N~1~,N~1~-diethylpentane-1,4-diamine	InChI=1S/C18H26ClN3/c1-4-22(5-2)12-6-7-14(3)21-17-10-11-20-18-13-15(19)8-9-16(17)18/h8-11,13-14H,4-7,12H2,1-3H3,(H,20,21)	37	CCN(CC)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1
phenindione	Approved Name	DTXSID5023453	Phenindione	83-12-5	2-Phenyl-1H-indene-1,3(2H)-dione	InChI=1S/C15H10O2/c16-14-11-8-4-5-9-12(11)15(17)13(14)10-6-2-1-3-7-10/h1-9,13H	41	O=C1C(C(=O)C2=CC=CC=C12)C1=CC=CC=C1
gliclazide	Approved Name	DTXSID9023095	Gliclazide	21187-98-4	N-[(Hexahydrocyclopenta[c]pyrrol-2(1H)-yl)carbamoyl]-4-methylbenzene-1-sulfonamide	InChI=1S/C15H21N3O3S/c1-11-5-7-14(8-6-11)22(20,21)17-15(19)16-18-9-12-3-2-4-13(12)10-18/h5-8,12-13H,2-4,9-10H2,1H3,(H2,16,17,19)	39	CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CC2CCCC2C1
propafenone	Approved Name	DTXSID9045184	Propafenone	54063-53-5	1-{2-[2-Hydroxy-3-(propylamino)propoxy]phenyl}-3-phenylpropan-1-one	InChI=1S/C21H27NO3/c1-2-14-22-15-18(23)16-25-21-11-7-6-10-19(21)20(24)13-12-17-8-4-3-5-9-17/h3-11,18,22-23H,2,12-16H2,1H3	33	CCCNCC(O)COC1=C(C=CC=C1)C(=O)CCC1=CC=CC=C1
bromperidol	Approved Name	DTXSID0022690	Bromperidol	10457-90-6	4-[4-(4-Bromophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one	InChI=1S/C21H23BrFNO2/c22-18-7-5-17(6-8-18)21(26)11-14-24(15-12-21)13-1-2-20(25)16-3-9-19(23)10-4-16/h3-10,26H,1-2,11-15H2	40	OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Br)C=C1
trimetazidine	Approved Name	DTXSID2048531	Trimetazidine	5011-34-7	1-[(2,3,4-Trimethoxyphenyl)methyl]piperazine	InChI=1S/C14H22N2O3/c1-17-12-5-4-11(13(18-2)14(12)19-3)10-16-8-6-15-7-9-16/h4-5,15H,6-10H2,1-3H3	21	COC1=C(OC)C(OC)=C(CN2CCNCC2)C=C1
imipenem	Approved Name	DTXSID2023143	Imipenem	64221-86-9	(5R,6S)-6-[(1R)-1-Hydroxyethyl]-3-({2-[(iminomethyl)amino]ethyl}sulfanyl)-7-oxo-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid	InChI=1S/C12H17N3O4S/c1-6(16)9-7-4-8(20-3-2-14-5-13)10(12(18)19)15(7)11(9)17/h5-7,9,16H,2-4H2,1H3,(H2,13,14)(H,18,19)/t6-,7-,9-/m1/s1	33	CC(O)C1C2CC(SCCNC=N)=C(N2C1=O)C(O)=O
ceftazidime	Approved Name	DTXSID5022770	Ceftazidime	72558-82-8	(6R,7R)-7-{[(2Z)-2-(2-Amino-1,3-thiazol-4-yl)-2-{[(2-carboxypropan-2-yl)oxy]imino}acetyl]amino}-8-oxo-3-[(pyridin-1-ium-1-yl)methyl]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate	InChI=1S/C22H22N6O7S2/c1-22(2,20(33)34)35-26-13(12-10-37-21(23)24-12)16(29)25-14-17(30)28-15(19(31)32)11(9-36-18(14)28)8-27-6-4-3-5-7-27/h3-7,10,14,18H,8-9H2,1-2H3,(H4-,23,24,25,29,31,32,33,34)/b26-13-/t14-,18-/m1/s1	30	CC(C)(O\N=C(/C(=O)NC1C2SCC(C[N+]3=CC=CC=C3)=C(N2C1=O)C(O)=O)C1=CSC(N)=N1)C(O)=O
thiocolchicoside	Approved Name	DTXSID5045330	Thiocolchicoside	602-41-5	N-[(7S)-3-(beta-D-Glucopyranosyloxy)-1,2-dimethoxy-10-(methylsulfanyl)-9-oxo-5,6,7,9-tetrahydrobenzo[a]heptalen-7-yl]acetamide	InChI=1S/C27H33NO10S/c1-12(30)28-16-7-5-13-9-18(37-27-24(34)23(33)22(32)19(11-29)38-27)25(35-2)26(36-3)21(13)14-6-8-20(39-4)17(31)10-15(14)16/h6,8-10,16,19,22-24,27,29,32-34H,5,7,11H2,1-4H3,(H,28,30)/t16-,19+,22+,23-,24+,27+/m0/s1	23	COC1=C(OC)C2=C(CCC(NC(C)=O)C3=CC(=O)C(SC)=CC=C23)C=C1OC1OC(CO)C(O)C(O)C1O
mesoridazine	Approved Name	DTXSID3023265	Mesoridazine	5588-33-0	2-(Methanesulfinyl)-10-[2-(1-methylpiperidin-2-yl)ethyl]-10H-phenothiazine	InChI=1S/C21H26N2OS2/c1-22-13-6-5-7-16(22)12-14-23-18-8-3-4-9-20(18)25-21-11-10-17(26(2)24)15-19(21)23/h3-4,8-11,15-16H,5-7,12-14H2,1-2H3	37	CN1CCCCC1CCN1C2=CC=CC=C2SC2=C1C=C(C=C2)S(C)=O
Prestwick-559	NO_MATCH	-	-	-	-	-	-	-
etamivan	Integrated Source Name	DTXSID3023007	Ethamivan	304-84-7	N,N-Diethyl-4-hydroxy-3-methoxybenzamide	InChI=1S/C12H17NO3/c1-4-13(5-2)12(15)9-6-7-10(14)11(8-9)16-3/h6-8,14H,4-5H2,1-3H3	39	CCN(CC)C(=O)C1=CC(OC)=C(O)C=C1
cyclizine	Approved Name	DTXSID4022864	Cyclizine	82-92-8	1-(Diphenylmethyl)-4-methylpiperazine	InChI=1S/C18H22N2/c1-19-12-14-20(15-13-19)18(16-8-4-2-5-9-16)17-10-6-3-7-11-17/h2-11,18H,12-15H2,1H3	31	CN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1
iobenguane	Approved Name	DTXSID4048438	Iobenguane	80663-95-2	N-[(3-Iodophenyl)methyl]guanidine	InChI=1S/C8H10IN3/c9-7-3-1-2-6(4-7)5-12-8(10)11/h1-4H,5H2,(H4,10,11,12)	12	NC(=N)NCC1=CC(I)=CC=C1
prenylamine	Approved Name	DTXSID0048555	Prenylamine	390-64-7	3,3-Diphenyl-N-[(2S)-1-phenylpropan-2-yl]propan-1-amine	InChI=1S/C24H27N/c1-20(19-21-11-5-2-6-12-21)25-18-17-24(22-13-7-3-8-14-22)23-15-9-4-10-16-23/h2-16,20,24-25H,17-19H2,1H3/t20-/m0/s1	17	CC(CC1=CC=CC=C1)NCCC(C1=CC=CC=C1)C1=CC=CC=C1
Trolox C	Integrated Source Name	DTXSID60866306	2H-1-Benzopyran-2-carboxylic acid, 3,4-dihydro-6-hydroxy-2,5,7,8-tetramethyl-	53188-07-1	6-Hydroxy-2,5,7,8-tetramethyl-3,4-dihydro-2H-1-benzopyran-2-carboxylic acid	InChI=1S/C14H18O4/c1-7-8(2)12-10(9(3)11(7)15)5-6-14(4,18-12)13(16)17/h15H,5-6H2,1-4H3,(H,16,17)	17	CC1=C(C)C2=C(CCC(C)(O2)C(O)=O)C(C)=C1O
clorsulon	Approved Name	DTXSID8045488	Clorsulon	60200-06-8	4-Amino-6-(trichloroethenyl)benzene-1,3-disulfonamide	InChI=1S/C8H8Cl3N3O4S2/c9-7(8(10)11)3-1-4(12)6(20(14,17)18)2-5(3)19(13,15)16/h1-2H,12H2,(H2,13,15,16)(H2,14,17,18)	28	NC1=C(C=C(C(=C1)C(Cl)=C(Cl)Cl)S(N)(=O)=O)S(N)(=O)=O
parthenolide	Approved Name	DTXSID2040579	Parthenolide	20554-84-1	(1aR,7aS,10aS,10bS)-1a,5-Dimethyl-8-methylidene-2,3,6,7,7a,8,10a,10b-octahydrooxireno[9,10]cyclodeca[1,2-b]furan-9(1aH)-one	InChI=1S/C15H20O3/c1-9-5-4-8-15(3)13(18-15)12-11(7-6-9)10(2)14(16)17-12/h5,11-13H,2,4,6-8H2,1,3H3/b9-5-/t11-,12-,13-,15+/m0/s1	28	C\C1=C\CCC2(C)OC2C2OC(=O)C(=C)C2CC1
tubocurarine chloride	Synonym from Valid Source	DTXSID2023727	(+)-Tubocurarine chloride hydrochloride	57-94-3	7',12'-Dihydroxy-6,6'-dimethoxy-2,2',2'-trimethyltubocuraran-2'-ium chloride--hydrogen chloride (1/1/1)	InChI=1S/C37H40N2O6.2ClH/c1-38-14-12-24-19-32(42-4)33-21-27(24)28(38)16-22-6-9-26(10-7-22)44-37-35-25(20-34(43-5)36(37)41)13-15-39(2,3)29(35)17-23-8-11-30(40)31(18-23)45-33;;/h6-11,18-21,28-29H,12-17H2,1-5H3,(H-,40,41);2*1H/t28-,29+;;/m0../s1	26	COC1=C(O)C2=C3C(CC4=CC(OC5=C(OC)C=C6CCN(C)C(CC7=CC=C(O2)C=C7)C6=C5)=C(O)C=C4)[N+](C)(C)CCC3=C1
hydrastine hydrochloride	NO_MATCH	-	-	-	-	-	-	-
laudanosine	Approved Name	DTXSID30878577	Laudanosine	2688-77-9	(1S)-1-[(3,4-Dimethoxyphenyl)methyl]-6,7-dimethoxy-2-methyl-1,2,3,4-tetrahydroisoquinoline	InChI=1S/C21H27NO4/c1-22-9-8-15-12-20(25-4)21(26-5)13-16(15)17(22)10-14-6-7-18(23-2)19(11-14)24-3/h6-7,11-13,17H,8-10H2,1-5H3/t17-/m0/s1	6	COC1=C(OC)C=C(CC2N(C)CCC3=CC(OC)=C(OC)C=C23)C=C1
tetracaine	Approved Name	DTXSID1043883	Tetracaine	94-24-6	2-(Dimethylamino)ethyl 4-(butylamino)benzoate	InChI=1S/C15H24N2O2/c1-4-5-10-16-14-8-6-13(7-9-14)15(18)19-12-11-17(2)3/h6-9,16H,4-5,10-12H2,1-3H3	30	CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C
scoulerine	NO_MATCH	-	-	-	-	-	-	-
10-methoxyharmalan	NO_MATCH	-	-	-	-	-	-	-
thiamine	Approved Name	DTXSID2023648	Thiamine	59-43-8	3-[(4-Amino-2-methylpyrimidin-5-yl)methyl]-5-(2-hydroxyethyl)-4-methyl-1,3-thiazol-3-ium chloride	InChI=1S/C12H17N4OS.ClH/c1-8-11(3-4-17)18-7-16(8)6-10-5-14-9(2)15-12(10)13;/h5,7,17H,3-4,6H2,1-2H3,(H2,13,14,15);1H/q+1;/p-1	36	CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N
dihydroergocristine	Approved Name	DTXSID3046322	Dihydroergocristine	17479-19-5	(5'alpha,10alpha)-5'-Benzyl-12'-hydroxy-3',6',18-trioxo-2'-(propan-2-yl)-9,10-dihydroergotaman	InChI=1S/C35H41N5O5/c1-20(2)34(37-31(41)23-16-25-24-11-7-12-26-30(24)22(18-36-26)17-27(25)38(3)19-23)33(43)40-28(15-21-9-5-4-6-10-21)32(42)39-14-8-13-29(39)35(40,44)45-34/h4-7,9-12,18,20,23,25,27-29,36,44H,8,13-17,19H2,1-3H3,(H,37,41)/t23-,25-,27-,28+,29+,34-,35+/m1/s1	20	CC(C)C1(NC(=O)C2CC3C(CC4=CNC5=CC=CC3=C45)N(C)C2)OC2(O)C3CCCN3C(=O)C(CC3=CC=CC=C3)N2C1=O
mometasone	Approved Name	DTXSID10872412	Mometasone	105102-22-5	(11beta,16alpha)-9,21-Dichloro-11,17-dihydroxy-16-methylpregna-1,4-diene-3,20-dione	InChI=1S/C22H28Cl2O4/c1-12-8-16-15-5-4-13-9-14(25)6-7-19(13,2)21(15,24)17(26)10-20(16,3)22(12,28)18(27)11-23/h6-7,9,12,15-17,26,28H,4-5,8,10-11H2,1-3H3/t12-,15+,16+,17+,19+,20+,21+,22+/m1/s1	13	CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(O)C(=O)CCl
lobelanidine	NO_MATCH	-	-	-	-	-	-	-
raubasine	NO_MATCH	-	-	-	-	-	-	-
ajmaline	Approved Name	DTXSID6045537	Ajmaline	4360-12-7	(16xi,17R,21alpha)-Ajmalan-17,21-diol	InChI=1S/C20H26N2O2/c1-3-10-11-8-14-17-20(12-6-4-5-7-13(12)21(17)2)9-15(16(11)18(20)23)22(14)19(10)24/h4-7,10-11,14-19,23-24H,3,8-9H2,1-2H3/t10-,11-,14-,15-,16?,17-,18+,19+,20+/m0/s1	31	[H]C12CC34C(O)C1C1([H])CC([H])(C3N(C)C3=CC=CC=C43)N2C(O)C1CC
harmol	Approved Name	DTXSID10876697	HARMOL	487-03-6	1-Methyl-9H-pyrido[3,4-b]indol-7-ol	InChI=1S/C12H10N2O/c1-7-12-10(4-5-13-7)9-3-2-8(15)6-11(9)14-12/h2-6,14-15H,1H3	6	CC1=C2NC3=C(C=CC(O)=C3)C2=CC=N1
stachydrine	Approved Name	DTXSID50274274	stachydrine	32039-73-9	1,1-Dimethylpyrrolidin-1-ium-2-carboxylate	InChI=1S/C7H13NO2/c1-8(2)5-3-4-6(8)7(9)10/h6H,3-5H2,1-2H3	6	C[N+]1(C)CCCC1C(O)=O
noscapine	Approved Name	DTXSID4023385	Noscapine	128-62-1	(3S)-6,7-Dimethoxy-3-[(5R)-4-methoxy-6-methyl-5,6,7,8-tetrahydro-2H-[1,3]dioxolo[4,5-g]isoquinolin-5-yl]-2-benzofuran-1(3H)-one	InChI=1S/C22H23NO7/c1-23-8-7-11-9-14-20(29-10-28-14)21(27-4)15(11)17(23)18-12-5-6-13(25-2)19(26-3)16(12)22(24)30-18/h5-6,9,17-18H,7-8,10H2,1-4H3/t17-,18+/m1/s1	43	COC1=CC=C2C(OC(=O)C2=C1OC)C1N(C)CCC2=CC3=C(OCO3)C(OC)=C12
dipivefrine	Synonym from Valid Source	DTXSID1048544	Dipivefrin	52365-63-6	4-[1-Hydroxy-2-(methylamino)ethyl]-1,2-phenylene bis(2,2-dimethylpropanoate)	InChI=1S/C19H29NO5/c1-18(2,3)16(22)24-14-9-8-12(13(21)11-20-7)10-15(14)25-17(23)19(4,5)6/h8-10,13,20-21H,11H2,1-7H3	16	CNCC(O)C1=CC(OC(=O)C(C)(C)C)=C(OC(=O)C(C)(C)C)C=C1
tetrahydroalstonine	NO_MATCH	-	-	-	-	-	-	-
tomatidine	Approved Name	DTXSID0037102	Tomatidine	77-59-8	(3beta,5alpha,25S)-Spirosolan-3-ol	InChI=1S/C27H45NO2/c1-16-7-12-27(28-15-16)17(2)24-23(30-27)14-22-20-6-5-18-13-19(29)8-10-25(18,3)21(20)9-11-26(22,24)4/h16-24,28-29H,5-15H2,1-4H3/t16-,17-,18-,19-,20+,21-,22-,23-,24-,25-,26-,27-/m0/s1	23	CC1C2C(CC3C4CCC5CC(O)CCC5(C)C4CCC23C)OC11CCC(C)CN1
papaverine	Approved Name	DTXSID4023418	Papaverine	58-74-2	1-[(3,4-Dimethoxyphenyl)methyl]-6,7-dimethoxyisoquinoline	InChI=1S/C20H21NO4/c1-22-17-6-5-13(10-18(17)23-2)9-16-15-12-20(25-4)19(24-3)11-14(15)7-8-21-16/h5-8,10-12H,9H2,1-4H3	38	COC1=CC=C(CC2=NC=CC3=CC(OC)=C(OC)C=C23)C=C1OC
pyridoxine	Approved Name	DTXSID4023541	Pyridoxine	65-23-6	4,5-Bis(hydroxymethyl)-2-methylpyridin-3-ol	InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3	58	CC1=C(O)C(CO)=C(CO)C=N1
harmine	Approved Name	DTXSID30196066	Harmine	442-51-3	7-Methoxy-1-methyl-9H-pyrido[3,4-b]indole	InChI=1S/C13H12N2O/c1-8-13-11(5-6-14-8)10-4-3-9(16-2)7-12(10)15-13/h3-7,15H,1-2H3	28	COC1=CC2=C(C=C1)C1=C(N2)C(C)=NC=C1
monocrotaline	Approved Name	DTXSID9020902	Monocrotaline	315-22-0	(3R,4R,5R,13aR,13bR)-4,5-Dihydroxy-3,4,5-trimethyl-4,5,8,10,12,13,13a,13b-octahydro-2H-[1,6]dioxacycloundecino[2,3,4-gh]pyrrolizine-2,6(3H)-dione	InChI=1S/C16H23NO6/c1-9-13(18)23-11-5-7-17-6-4-10(12(11)17)8-22-14(19)16(3,21)15(9,2)20/h4,9,11-12,20-21H,5-8H2,1-3H3/t9-,11+,12+,15+,16-/m0/s1	49	CC1C(=O)OC2CCN3CC=C(COC(=O)C(C)(O)C1(C)O)C23
syrosingopine	Approved Name	DTXSID9023629	Syrosingopine	84-36-6	Methyl (3beta,16beta,17alpha,18beta,20alpha)-18-({4-[(ethoxycarbonyl)oxy]-3,5-dimethoxybenzoyl}oxy)-11,17-dimethoxyyohimban-16-carboxylate	InChI=1S/C35H42N2O11/c1-7-46-35(40)48-31-26(42-3)12-18(13-27(31)43-4)33(38)47-28-14-19-17-37-11-10-22-21-9-8-20(41-2)15-24(21)36-30(22)25(37)16-23(19)29(32(28)44-5)34(39)45-6/h8-9,12-13,15,19,23,25,28-29,32,36H,7,10-11,14,16-17H2,1-6H3/t19-,23+,25-,28-,29+,32+/m1/s1	31	CCOC(=O)OC1=C(OC)C=C(C=C1OC)C(=O)OC1CC2CN3CCC4=C(NC5=CC(OC)=CC=C45)C3CC2C(C1OC)C(=O)OC
dacarbazine	Approved Name	DTXSID0020369	Dacarbazine	4342-03-4	4-(3,3-Dimethyltriaz-1-en-1-yl)-1H-imidazole-5-carboxamide	InChI=1S/C6H10N6O/c1-12(2)11-10-6-4(5(7)13)8-3-9-6/h3H,1-2H3,(H2,7,13)(H,8,9)	48	CN(C)N=NC1=C(NC=N1)C(N)=O
piperlongumine	NO_MATCH	-	-	-	-	-	-	-
atropine	Approved Name	DTXSID4020113	Atropine	51-55-8	(1R,3r,5S)-8-Methyl-8-azabicyclo[3.2.1]octan-3-yl 3-hydroxy-2-phenylpropanoate	InChI=1S/C17H23NO3/c1-18-13-7-8-14(18)10-15(9-13)21-17(20)16(11-19)12-5-3-2-4-6-12/h2-6,13-16,19H,7-11H2,1H3/t13-,14+,15+,16?	55	[H]C12CCC([H])(CC(C1)OC(=O)C(CO)C1=CC=CC=C1)N2C
ellipticine	Approved Name	DTXSID30199855	Ellipticine	519-23-3	5,11-Dimethyl-6H-pyrido[4,3-b]carbazole	InChI=1S/C17H14N2/c1-10-14-9-18-8-7-12(14)11(2)17-16(10)13-5-3-4-6-15(13)19-17/h3-9,19H,1-2H3	25	CC1=C2C=CN=CC2=C(C)C2=C1NC1=CC=CC=C21
riboflavin	Approved Name	DTXSID8021777	Riboflavin	83-88-5	1-Deoxy-1-(7,8-dimethyl-2,4-dioxo-3,4-dihydrobenzo[g]pteridin-10(2H)-yl)-D-ribitol	InChI=1S/C17H20N4O6/c1-7-3-9-10(4-8(7)2)21(5-11(23)14(25)12(24)6-22)15-13(18-9)16(26)20-17(27)19-15/h3-4,11-12,14,22-25H,5-6H2,1-2H3,(H,20,26,27)/t11-,12+,14-/m0/s1	68	CC1=CC2=C(C=C1C)N(CC(O)C(O)C(O)CO)C1=NC(=O)NC(=O)C1=N2
cytisine	NO_MATCH	-	-	-	-	-	-	-
ipratropium bromide	Approved Name	DTXSID60858923	Ipratropium bromide	22254-24-6	(1R,3r,5S)-3-[(3-Hydroxy-2-phenylpropanoyl)oxy]-8-methyl-8-(propan-2-yl)-8-azabicyclo[3.2.1]octan-8-ium bromide	InChI=1S/C20H30NO3.BrH/c1-14(2)21(3)16-9-10-17(21)12-18(11-16)24-20(23)19(13-22)15-7-5-4-6-8-15;/h4-8,14,16-19,22H,9-13H2,1-3H3;1H/q+1;/p-1/t16-,17+,18+,19?,21?;	22	CC(C)[N+]1(C)C2CCC1CC(C2)OC(=O)C(CO)C1=CC=CC=C1
